a/a,METEO_ID,METEO_CODE,METEO_DESCR,METEO_LAT,METEO_LON,YPSOMETRO,DATE,MEAN_TEMP,HIGH_TEMP,TIME_HIGH_TEMP,LOW_TEMP,TIME_LOW_TEMP,HEAT_DEG_DAYS,HEAT_LOW_DAYS,RAIN,AVG_WIND_SPEED,HIGH_WIND_SPEED,TIME_HIGH_WIND_SPEED,DOM_DIR,OUT_HUM,OUT_HUM_MAX,OUT_HUM_MIN
81,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/20/09,23.4,28.9,01/03/01 12:00 AM,18.1,00:00:00,0,5.1,0,2.1,17.7,0.6,N,59.1,74,43
82,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/21/09,23.3,26.7,01/03/01 12:00 AM,19.2,00:00:00,0,4.9,0,3.9,22.5,0.6,N,53.9,81,41
83,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/22/09,20.1,24.4,01/03/01 12:00 AM,16.2,00:00:00,0.4,2.2,0,2.9,20.9,0.6,N,64.3,88,47
84,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/23/09,21.6,27,01/03/01 12:00 AM,17,00:00:00,0.2,3.4,0,2.1,19.3,0.6,N,49.7,69,32
85,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/24/09,20.7,25.4,01/03/01 12:00 AM,17.2,00:00:00,0.1,2.4,0,1.9,16.1,0.6,N,60.9,85,39
86,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/25/09,19.7,23.9,01/03/01 12:00 AM,16.6,00:00:00,0.2,1.5,0,3.2,29,0.7,N,80.7,93,56
87,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/26/09,19.8,24.6,01/03/01 12:00 AM,16.5,00:00:00,0.4,1.9,0,3.7,24.1,0.5,N,75.5,92,56
88,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/27/09,21.2,26.3,01/03/01 12:00 AM,16.7,00:00:00,0.2,3.1,0,1.6,19.3,0.6,N,63,85,42
89,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/28/09,21.6,26.4,01/03/01 12:00 AM,18.2,00:00:00,0,3.2,0,1.3,14.5,0.6,N,63.3,76,46
90,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,08/29/09,23.8,27.2,01/03/01 12:00 AM,20.7,00:00:00,0,5.5,0,1,12.9,0.5,N,46.6,67,25
